"","Soldiers of Mecklenburg","","","2002*"
"Bristol","Confederate Soldier Monument","Monument","","1910"
"Bristol","Stonewall Jackson Elementary School","School","","1948"
"Bristol","Washington-Lee Elementary School","School","","1968"
"Bristow","Robert E. Lee Drive","Road/Street/Highway","","N/A"
"Buckingham","Confederate Soldiers of Buckingham  County","Monument","","1908"
"Centreville","General Lee Drive","Road/Street/Highway","","N/A"
"Charlotte","Charlotte County Confederate Memorial","Monument/Courthouse","","1901"
"Charlottesville","Lee Oak (Tree)","Monument","","1970"
"Charlottesville","Robert Edward Lee Sculpture","Monument","","1924"
"Charlottesville","Stonewall Jackson Statue","Monument","","1921"
"Charlottesville","Confederate Memorial","Monument/Courthouse","","1909"
"Charlottesville","Lee Park","Park","","1917"
"Chatham","Confederate Dead Monument","Monument/Courthouse","","1899"
"","","","","1967*"
"Chesterfield","Confederate Memorial","Monument/Courthouse","","1903"
"Clear Brook","Stonewall Elementary School","School","","1960"
"Courtland","Confederate Monument","Monument/Courthouse","","1905"
"Culpeper","General A.P. Hill","Road/Street/Highway","","N/A"
"Culpeper","General Jackson Avenue","Road/Street/Highway","","N/A"
"Culpeper","General Jeb Stuart Lane","Road/Street/Highway","","N/A"
"Culpeper","General Lee Avenue","Road/Street/Highway","","N/A"
"Culpeper","General Longstreet Avenue","Road/Street/Highway","","N/A"
"Culpeper","General Winder Road","Road/Street/Highway","","N/A"
"Damascus","Jeb Stuart Highway","Road/Street/Highway","","N/A"
"Dinwiddie","Confederate Monument","Monument/Courthouse","","1909"
"Eastville","Confederate Monument","Monument/Courthouse","","1913"
"Emporia","Confederate Memorial","Monument/Courthouse","","1910"
"Falls Church","J.E.B. Stuart Park","Park","","1961"
"Falls Church","J.E.B. Stuart High School","School","","1959"
"Farmville","Virginia Defenders of State Sovereignty Confederate Soldier","Monument","","1900"
"Fincastle","Confederate Memorial","Monument/Courthouse","","1904"
"Floyd","Confederate Monument","Monument/Courthouse","","1904"
"Fort A.P. Hill","Fort A.P. Hill","Military Base","","1941"
"Fort Lee","Fort Lee","Military Base","","1917"
"Fort Pickett","Fort Pickett","Military Base","","1942"
"Foster","Robert E. Lee Drive","Road/Street/Highway","","N/A"
"Franklin","Confederate Monument","Monument","","1911"
"Fredericksburg","Confederate Monument","Monument","","2009"
"Fredericksburg","The Heights at Smith Run","Monument","","2014"
"Fredericksburg","Thomas R.R. Cobb Monument and Marker","Monument","","1888"
"Fredericksburg","Lee Hill Community Center","Park","","N/A"
"Fredericksburg","Lee Hill Elementary School","School","","1952"
"Front Royal","Confederate Monument","Monument/Courthouse","","1911"
"Gate City","Confederate Memorial","Monument/Courthouse","","1988"
"Glen Allen","J.E.B. Stuart Memorial","Monument","","1888"
"Gloucester","Confederate Monument","Monument/Courthouse","","1889"
"Halifax","Confederate Memorial","Monument/Courthouse","","1911"
"Hampton","Jefferson Davis Middle School","School","","1960"
"Hanover","Confederate Monument","Monument","","1914"
"Heathsville","Civil War Memorial,","Monument/Courthouse","","1873"
"","Northumberland County","","",""
"Hillsville","Confederate Monument","Monument/Courthouse","","1907"
"Hopewell","Confederate Memorial","Monument","","1949"
"Hopewell","Robert E. Lee Drive","Road/Street/Highway","","N/A"
"Jonesville","Lee High School","School","","1989"
"King William","To Our Soldiers of the Confederacy","Monument/Courthouse","","1901"
"Lancaster","Lancaster County","Monument/Courthouse","","1872"
"","Confederate Monument","","",""
"Lawrenceville","Brunswick County","Monument/Courthouse","","1910"
"","Confederate Monument","","",""
"Lebanon","Confederate Monument","Monument","","1914"
"Leesburg","Confederate Soldier Memorial","Monument/Courthouse","","1908"
"Lexington","Francis H. Smith","Monument","","1931"
"","Confederate Monument","","","1979*"
"Lexington","Stonewall Jackson","Monument","","N/A"
"","Monument and Arch","","",""
"Louisa","Confederate Monument","Monument/Courthouse","","1905"
"Lovingston","Confederate Monument","Monument/Courthouse","","1965"
"Lunenburg","Confederate Monument","Monument/Courthouse","","1916"
"Luray","Confederate Monument","Monument","","1898"
"Luray","Page County Confederate","Monument","","1918"
"","Monument","","",""
"Lynchburg","Confederate Monument","Monument","","1900"
"Lynchburg","Jubal Early Monument","Monument","","1919"
"Lynchburg","Early Street","Road/Street/Highway","","N/A"
"Manassas","Stonewall Jackson Volunteer","Fire Station","","1969"
"","Fire & Rescue Department","","",""
"Manassas","Lee Avenue","Road/Street/Highway","","N/A"
"Manassas","Stonewall Jackson High School","School","","1973"
"Manassas","Stonewall Middle School","School","","N/A"
"Marion","Confederate Monument","Monument/Courthouse","","1904"
"Martinsville","Jeb Stuart Road","Road/Street/Highway","","N/A"
"Martinsville","Jefferson Davis Drive","Road/Street/Highway","","N/A"
"Mathews","Our Confederate Soldier","Monument/Courthouse","","1912"
"Mechanicsville","Wilcox’s Alabama Brigade","Monument","","1999"
"Mechanicsville","Lee Davis High School","School","","1958"
"Mechanicsville","Stonewall Jackson Middle School","School","","1969"
"Middleburg","John Mosby Highway","Road/Street/Highway","","N/A"
"Monterey","Confederate Monument","Monument/Courthouse","","1918"
"Montross","Westmoreland County","Monument/Courthouse","","1876"
"","Confederate Monument","","",""
"Natural Bridge Station","Jeb Stuart Drive","Road/Street/Highway","","N/A"
"Natural Bridge Station","Robert E. Lee Drive","Road/Street/Highway","N/A"
"New Castle","Confederate Monument","Monument/Courthouse","1912"
"New Kent","Confederate Monument","Monument","1934"
"New Market","This Rustic Pile","Monument","1909"
"New Market","Confederate Street","Road/Street/Highway","N/A"
"New Market","Lee Street","Road/Street/Highway","N/A"
"New Market","Stonewall Street","Road/Street/Highway","N/A"
"New Market","Stuart Street","Road/Street/Highway","N/A"
"Newport News","Confederate Soldier Monument","Monument","1909"
"Newport News","Lee Hall Elementary School","School","1956"
"Nickelsville","Nickelsville Spartan Band","Monument","2000"
"Norfolk","Confederate Monument","Monument","1907"
"Nottoway","Confederate Monument","Monument/Courthouse","1893"
"Palmyra","Confederate Memorial","Monument/Courthouse","1901"
"Parksley","Confederate Monument","Monument","1899"
"Pearisburg","Confederate Medal of","Monument/Courthouse","1995"
"","Honor Monument","",""
"Petersburg","Hagood’s Brigade","Monument","N/A"
"Petersburg","Old Men and Boys Monument","Monument","1909"
"Petersburg","To the Memory of A.P. Hill","Monument","N/A"
"Petersburg","Confederate Avenue","Road/Street/Highway","N/A"
"Petersburg","Robert E. Lee Elementary School","School","1962"
"Petersburg","J.E.B. Stuart Elementary School","School","1966"
"Petersburg/ Suffolk","General Mahone Boulevard/Highway","Road/Street/Highway","N/A"
"Portsmouth","Confederate Monument","Monument","1876"
"Powhatan","Powhatan Troop","Monument/Courthouse","1999"
"","Confederate Memorial","",""
"Powhatan","Robert E. Lee Road","Road/Street/Highway","N/A"
"Pulaski","In Memory of the Confederate","Monument","1906"
"","Soldiers of Pulaski","",""
"","County, 1861-1865","",""
"Purcellville","Jeb Stuart Road","Road/Street/Highway","N/A"
"Quicksburg","Stonewall Jackson High School","School","1959"
"Reams","North Carolina Monument","Monument","N/A"
"Rhoadesville","Jeb Stuart Drive","Road/Street/Highway","N/A"
"Richmond","Robert E. Lee Memorial Bridge","Bridge","1934"
"Richmond","Robert E. Lee Commemorative License Plate","Commemorative License Plate","N/A"
"Richmond","Sons of Confederate Veterans Commemorative License Plate","Commemorative License Plate","N/A"
"Richmond","Lee-Jackson  Day","Holiday","N/A"
"","(State observed)","(Friday preceeding 3rd",""
"","","Monday in January)",""
"Richmond","Confederate Soldiers and","Monument","1894"
"","Sailors Monument","",""
"Richmond","J.E.B. Stuart Monument","Monument","1907"
"Richmond","Jefferson Davis Monument","Monument","1907"
"Richmond","Jefferson Davis Statue","Monument","N/A"
"Richmond","Matthew Fontaine Maury Monument","Monument","1929"
"Richmond","Robert E. Lee Monument","Monument","1890"
"Richmond","Stonewall Jackson Monument","Monument","1875"
"Richmond","Williams Carter Wickham","Monument","1891"
"","Monument","",""
"Richmond","Confederate Avenue","Road/Street/Highway","N/A"
"Richmond","J.E.B. Stuart Elementary School","School","1921"
"Roanoke","Stonewall Jackson Middle School","School","1923"
"Rocky Mount","Confederate Monument","Monument/Courthouse","1910"
"Sandston","Carter Avenue","Road/Street/Highway","N/A"
"Sandston","Confederate Avenue","Road/Street/Highway","N/A"
"Sandston","Early Avenue","Road/Street/Highway","N/A"
"Sandston","Garland Avenue","Road/Street/Highway","N/A"
"Sandston","J.B. Finley Road","Road/Street/Highway","N/A"
"Sandston","Jackson Avenue","Road/Street/Highway","N/A"
"Sandston","Kemper Court","Road/Street/Highway","N/A"
"Sandston","Pickett Avenue","Road/Street/Highway","N/A"
"Sandston","Wilson Way","Road/Street/Highway","N/A"
"Southampton County","General William Mahone Memorial Bridge","Bridge","1997"
"Spotsylvania","Confederate Monument","Monument/Courthouse","1918"
"Spotsylvania","Robert E. Lee Elementary School","School","1952"
"Springfield","Lee High School","School","1958"
"Staunton","Beauregard Drive","Road/Street/Highway","N/A"
"Staunton","J.E.B. Stuart Drive","Road/Street/Highway","N/A"
"Staunton","Stonewall Jackson Boulevard","Road/Street/Highway","N/A"
"Staunton","Robert E. Lee High School","School","1967"
"Stephenson","Memorial to Lieutenant Colonel","Monument","1920"
"","Richard Snowden Andrews and","",""
"","Men of 1st Maryland Battery, CSA","",""
"Stuart","City of Stuart","Municipality","N/A"
"Stuart","Stuart Elementary School","School","1938"
"Surry","Confederate Monument","Monument/Courthouse","1903"
"Sussex","Confederate Monument","Monument/Courthouse","1912"
"Tappahannock","Essex County Confederate","Monument/Courthouse","1909"
"","Monument","",""
"Tazewell","Confederate Memorial","Monument/Courthouse","1903"
"Verona","Confederate Street","Road/Street/Highway","N/A"
"Virginia Beach","Princess Anne County","Monument","1905"
"","Confederate Heroes","",""
"Virginia Beach","General Beauregard Drive","Road/Street/Highway","N/A"
"Virginia Beach","General Hill Drive","Road/Street/Highway","N/A"
"Virginia Beach","General Jackson Drive","Road/Street/Highway","N/A"
"Virginia Beach","General Lee Drive","Road/Street/Highway","N/A"
"Virginia Beach","General Longstreet Drive","Road/Street/Highway","N/A"
"Virginia Beach","Hood Drive","Road/Street/Highway","N/A"
"Warm Springs","Confederate Memorial","Monument/Courthouse","1922"
"Washington","Confederate Monument","Monument/Courthouse","1898"
"Waynesboro","Davis Road","Road/Street/Highway","N/A"
"Waynesboro","Pickett Road","Road/Street/Highway","N/A"
"Waynesboro","Robert E. Lee Avenue","Road/Street/Highway","N/A"
"Williamsburg","Williamsburg Confederate","Monument/Courthouse","1908"
"","Monument","",""
"Winchester","Confederate Soldiers Monument","Monument","1916"
"Winchester","Jubal Early Drive","Road/Street/Highway","N/A"
"Windsor","Confederate Monument","Monument/Courthouse","1905"
"Wise","City of Wise","Municipality","1924"
"Woodford","Jeff Davis Drive","Road/Street/Highway","N/A"
"Woodford","Stonewall Jackson Road","Road/Street/Highway","N/A"
"Multiple Locations","Jefferson Davis Highway","Road/Street/Highway","N/A"
"Multiple Locations","Jubal Early Highway","Road/Street/Highway","N/A"
"Multiple Locations","Lee Highway","Road/Street/Highway","1922"
"Multiple Locations","Lee Jackson Memorial Highway","Road/Street/Highway","N/A"
"Multiple Locations","Stonewall Jackson Highway","Road/Street/Highway","N/A"
