"City","Monument","Type","Year"
"Montgomery","Beauregard Street","Road/Street/Highway","N/A"
"Montgomery","Jefferson Davis Avenue","Road/Street/Highway","N/A"
"Montgomery","Jefferson Davis High School","School","1968"
"Montgomery","Robert E. Lee High School","School","1955"
"Moulton","Confederate Monument","Monument/Courthouse","2006"
"Opelika","Lee County","County","1866"
"Opelika","Confederate Monument","Monument","1911"
"Opelika","Beauregard Elementary School","School","N/A"
"Opelika","Beauregard High School","School","1923"
"Ozark","Dale County Confederate Soldiers Monument","Monument","1910"
"Ozark","Jeb Stewart Place","Road/Street/Highway","N/A"
"Ozark","Stonewall Circle","Road/Street/Highway","N/A"
"Prattville","Confederate Monument","Monument","1908"
"Prattville","Prattville Dragoons Memorial Monument (SCV)","Monument","2002"
"Rogersville","General Joseph Wheeler","Monument","2006"
"Rogersville","Joe Wheeler State Park","Park","1949"
"Satsuma","Robert E. Lee Elementary School","School","N/A"
"Selma","Edmund Pettus Bridge","Bridge","1940"
"Selma","Defense of Selma Memorial","Monument","1907"
"Selma","Selma Navy Yard Memorial","Monument","1917"
"Troy","'Comrades' Confederate Monument","Monument","1908"
"Trussville","Robert Lee Street","Road/Street/Highway","N/A"
"Tuscaloosa","University of Alabama Civil War Memorial","Monument","1914"
"Tuscumbia","Confederate Veterans Monument","Monument/Courthouse","1911"
"Tuskegee","Tuskegee Confederate Monument","Monument","1906"
"Union Springs","Bullock County","County","1866"
"Wheeler","City of Wheeler","Municipality","N/A"
"Multiple Locations","Jefferson Davis Highway","Road/Street/Highway","N/A"
"Multiple Locations","Lee Highway","Road/Street/Highway","N/A"
