"City","Monument","Type","Year"
"Moultrie","Colquitt County Confederate Monument","Monument/Courthouse","1909"
"Mount Vernon","Confederate Monument","Monument/Courthouse","1997"
"Muscogee","Stonewall Jackson Dam","Dam","N/A"
"Newnan","William Thomas Overby � Confederate  Hero  Monument","Monument/Courthouse","1956"
"Newnan","General Lee Drive","Road/Street/Highway","N/A"
"Newnan","General Longstreet Line","Road/Street/Highway","N/A"
"Newnan","Jeb Stuart Drive","Road/Street/Highway","N/A"
"Ocilla","Irwin County Confederate Monument","Monument/Courthouse","1911"
"Perry","Houston County Confederate Monument","Monument/Courthouse","1908"
"Quitman","Confederate Monument","Monument/Courthouse","1878"
"Ringgold","Robert E. Lee Drive","Road/Street/Highway","N/A"
"Savannah","Colonel Francis S. Bartow Bust","Monument","1902"
"Savannah","Confederate Memorial","Monument","1875"
"Savannah","General Lafayette McLaws Bust","Monument","1902"
"Savannah","Beauregard Street","Road/Street/Highway","N/A"
"Savannah","Early Street","Road/Street/Highway","N/A"
"Savannah","Hampton Street","Road/Street/Highway","N/A"
"Savannah","Jackson Boulevard","Road/Street/Highway","N/A"
"Savannah","Johnston Street","Road/Street/Highway","N/A"
"Savannah","Lee Boulevard","Road/Street/Highway","N/A"
"Savannah","McClaws Street","Road/Street/Highway","N/A"
"Savannah","Mosby Street","Road/Street/Highway","N/A"
"Savannah","Stuart Street","Road/Street/Highway","N/A"
"Savannah","Wheeler Street","Road/Street/Highway","N/A"
"Sharpsburg","Bedford Forrest Drive","Road/Street/Highway","N/A"
"Sharpsburg","Thomas Overby Drive","Road/Street/Highway","N/A"
"Sparta","Hancock County Confederate Monument","Monument/Courthouse","1881"
"Springfield","Confederate Memorial","Monument","1923"
"Statesboro","Confederate Monument","Monument/Courthouse","1909"
"Stone Mountain","Stone Mountain Confederate Memorial Carving","Monument","1923"
"Stone Mountain","Valor Monument at Memorial Plaza","Monument","1977"
"Stone Mountain","Jefferson Davis Drive","Road/Street/Highway","N/A"
"Stone Mountain","Robert E. Lee Boulevard","Road/Street/Highway","N/A"
"Stone Mountain","Stonewall Jackson Drive","Road/Street/Highway","N/A"
"Thomaston","At Rest Arms Monument","Monument/Courthouse","1908"
"Thomaston","Jeff Davis Road","Road/Street/Highway","N/A"
"Thomson","Confederate Women Fountain (Women of the Sixties)","Monument","1911"
"Thomson","McDuffie and Columbia Counties Confederate Monument","Monument","1996"
"Tifton","Tift County Confederate Memorial","Monument","1910 - 1992"
"Toccoa","Stephens County","County","1905"
"Toccoa","Stephens County Confederate Monument","Monument/Courthouse","1922"
"Trenton","Davis Elementary School","School","N/A"
"Union Point","Confederate Reunion Memorial","Monument","1874"
"Union Point","Confederate Wayside Home Monument","Monument","1936"
"Vienna","Dooly County Confederate Monument","Monument/Courthouse","1908"
"Warner Robins","General Lee Road","Road/Street/Highway","N/A"
"Warrenton","Warren County Confederate Monument","Monument/Courthouse","1904"
"Washington","The Dissolution of the Confederate Government","Monument","1938"
"Washington","Robert Toombs Avenue","Road/Street/Highway","N/A"
"Waycross","Ware County Confederate Monument","Monument","1910"
"Waycross","Jeb Stuart Drive","Road/Street/Highway","N/A"
"Waycross","Stonewall Jackson Place","Road/Street/Highway","N/A"
"Wrightsville","Jefferson Davis Highway Marker","Monument/Courthouse","N/A"
"Multiple Locations","Jefferson Davis Highway","Road/Street/Highway","N/A"
